CCN,critical_access,teaching_status,urban_rural,referral_center,ownership_type_simple,medicaid_caseload,disproportionate_percentage,charity_care_burden,uncomp_burden
10039,Not Critical Access,Teaching,Rural,Referral Center,Governmental,0.214978974,0.2673,0.018078556,0.045134656
10040,Not Critical Access,Teaching,Urban,Non Referral Center,Proprietary,0.195655663,0.2979,0.02397857,0.03037712
10044,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.071167883,0.1563,0.027984848,0.059385565
10045,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.122504537,0.17695,0.030567382,0.089821555
10046,Not Critical Access,Non Teaching,Urban,Referral Center,Proprietary,0.080757727,0.1813,0.000460443,0.050573321
10049,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.353720406,0.31275,0.041872503,0.055181124
10051,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.726027397,1.00805,0,0.032478528
10052,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.092592593,0.1882,0.009220106,0.057061042
10055,Not Critical Access,Non Teaching,Rural,Referral Center,Proprietary,0.128631042,0.23925,0.015579902,0.021013651
10056,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.090899212,0.2028,0.027921904,0.033393654
10058,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.370600414,0.30665,0.005793091,0.030542503
10059,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.083906465,0.22535,0.010820458,0.022763975
10061,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.259438104,0.2745,0.009440502,0.055709814
10062,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.325349301,0.4228,0.001528596,0.046030173
10065,Not Critical Access,Non Teaching,Rural,Referral Center,Nonprofit,0.191560244,0.2755,0.026069912,0.045105518
10069,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.133599202,0.2682,0.035136759,0.106499123
10073,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.31385954,0.50275,0.003921031,0.027064171
10078,Not Critical Access,Non Teaching,Urban,Referral Center,Governmental,0.278441026,0.3182,0.019595638,0.032558034
10079,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.232156863,0.2348,0.006325374,0.042221001
10083,Not Critical Access,Teaching,Urban,Non Referral Center,Proprietary,0.136037479,0.193366667,0.034762611,0.045502556
10085,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.183170112,0.2035,0.010333992,0.052577409
10086,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.084708471,0.0486,0.037572863,0.060209702
10087,Not Critical Access,Teaching,Urban,Non Referral Center,Governmental,0.19711659,0.3823,0.009655854,0.032490957
10089,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.213880242,0.3043,0.100343114,0.108922838
10090,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.142522211,0.21325,0.041547536,0.052997681
10091,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.493303571,0.4347,0,0.116277335
10092,Not Critical Access,Teaching,Rural,Referral Center,Governmental,0.22974246,0.3444,0.019208561,0.049800132
10095,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.266197183,0.38905,0.007634445,0.058003875
10097,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.125925926,0.2788,0.004378077,0.01641435
10099,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.278606965,0.349,0.001158908,0.035359573
10100,Not Critical Access,Teaching,Urban,Referral Center,Governmental,0.097023061,0.2304,0.007226279,0.03729201
10101,Not Critical Access,Non Teaching,Urban,Referral Center,Proprietary,0.158688525,0.2226,0.096265135,0.103899081
10102,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.194117647,0.3274,0.001259275,0.060299488
10103,Not Critical Access,Teaching,Urban,Non Referral Center,Proprietary,0.144024117,0.2747,0.08229448,0.087933771
10104,Not Critical Access,Teaching,Urban,Non Referral Center,Proprietary,0.103702205,0.2097,0.015630435,0.019651736
10108,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.139452152,0.1939,0.015114513,0.064455936
10110,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.428571429,0.7916,0,0.117830649
10112,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.193181818,0.3231,0.010263701,0.028485448
10113,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.096869358,0.4168,0.008754576,0.038454736
10114,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.188432369,0.2594,0.027152586,0.039718257
10118,Not Critical Access,Teaching,Rural,Referral Center,Proprietary,0.311772666,0.514,0.026359543,0.051332955
10120,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.299631385,0.35725,0.030453519,0.084202677
10125,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.090470446,0.2345,0.053362776,0.098310781
10126,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.202839757,0.2927,0.001776636,0.06432379
10128,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.327137546,0.4647,0,0.074804732
10129,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.150646204,0.4118,0.008340728,0.056323466
10130,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.081395349,NA,0.088917979,0.10374656
10131,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.08043603,0.1535,0.019530744,0.02423829
10138,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.395833333,1.0983,0,0.053471034
10139,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.13453399,0.2761,0.036180419,0.040515552
10144,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.113761163,0.2096,0.015340557,0.042837874
10148,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.217525773,0.2679,0,0.082828347
10149,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.27652989,0.4596,0.010541993,0.040757104
10150,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.155180723,0.2405,0.055553814,0.081475272
10157,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.223308883,0.4092,0.058425346,0.083942561
10158,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.11834962,0.2629,0.000913884,0.108095155
10164,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.295367468,0.4347,0.028013448,0.045852319
10168,Not Critical Access,Teaching,Urban,Non Referral Center,Proprietary,0.012773723,NA,0.000861854,0.013014148
10169,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.126614987,0.2128,0.001997942,0.057474072
10173,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.106038292,0.1769,0.115022925,0.129416387
10174,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.363636364,0.4807,0.000760104,0.190454211
10175,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.12208657,0.19325,0.016701925,0.033657054
11300,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.379644588,NA,0.001124473,0.029076832
11302,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.092426187,NA,0.001178303,0.0460936
11304,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.035294118,NA,0.040304136,0.075400912
11305,Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.08961039,NA,0.068403168,0.082975886
11306,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.111570248,NA,0.099862747,0.164727803
12006,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0,NA,0,0
12008,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
12009,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0,NA,0,0
12010,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0,NA,0,0
12011,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0,NA,0,0
12012,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0,NA,0,0
12014,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
13025,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.128506444,NA,0,0
13028,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
13029,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
13030,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
13031,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
13032,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
13033,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
13300,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.327620451,NA,0,0
13301,Not Critical Access,Teaching,Urban,Non Referral Center,Governmental,0.669748019,NA,0,0
14000,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
14006,NA,NA,NA,NA,Proprietary,NA,NA,NA,NA
14007,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0,NA,0,0
14012,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.76056338,NA,0,0
14013,NA,NA,NA,NA,Proprietary,NA,NA,NA,NA
14014,NA,NA,NA,NA,Governmental,NA,NA,NA,NA
14015,NA,NA,NA,NA,Proprietary,NA,NA,NA,NA
14017,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0,NA,0,0
14018,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
20001,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.287191563,0.4987,0.020145632,0.051865855
20006,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.414491109,0.3836,0.010060926,0.014660887
20008,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.271265908,0.3138,0.00292274,0.008895392
20012,Not Critical Access,Non Teaching,Urban,Referral Center,Nonprofit,0.314080656,0.4262,0.003274416,0.041609823
20017,Not Critical Access,Non Teaching,Urban,Referral Center,Proprietary,0.261885246,0.3882,0.029493211,0.033587145
20018,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.663407296,0.75925,0,0
20024,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.225892179,0.0818,0.010825576,0.024408438
20026,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.629265544,0.69805,0,0
21301,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.279245283,NA,0.034700537,0.091772402
21302,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.288888889,NA,0.026393339,0.041306094
21304,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.228571429,NA,0.015673413,0.063386376
21305,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.211267606,NA,0.040636402,0.607048572
21306,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.297101449,NA,0.016382926,0.028665385
21307,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.106382979,NA,0.007297627,0.091183241
21308,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.520804755,NA,0.001129892,0.015970909
21309,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.454293629,NA,0,0
21310,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.691103789,NA,0,0
21311,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.260914761,NA,0.031597028,0.071774902
21312,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.30982659,NA,0,0
21313,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.25,NA,0.009727107,0.035373796
21314,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.283846872,NA,0,0
22001,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.247282609,NA,0,0
24001,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.566939891,NA,0,0
24002,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.074313409,NA,0,0
30002,Not Critical Access,Teaching,Rural,Non Referral Center,Nonprofit,0.371461187,0.5361,0.013497665,0.028197649
30006,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.304693546,0.3907,0.010177493,0.117194077
30007,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.199775028,0.2423,0.021215155,0.079372843
30010,Not Critical Access,Non Teaching,Rural,Referral Center,Proprietary,0.021928666,0.314133333,0.012592809,0.060831012
30011,Not Critical Access,Non Teaching,Rural,Referral Center,Proprietary,0.004860804,0.2727,0.009178053,0.043212317
30012,Not Critical Access,Non Teaching,Rural,Referral Center,Nonprofit,0.21383787,0.1671,0.009837288,0.049449461
30013,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.362818401,0.3631,0.008106035,0.060222494
30014,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.285680751,0.3676,0.024156948,0.115022328
30016,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.283558793,0.3672,0.020325031,0.027063677
30022,Not Critical Access,Teaching,Rural,Referral Center,Governmental,0.278708304,0.8295,0.092467763,0.266656698
30023,Not Critical Access,Non Teaching,Urban,Referral Center,Nonprofit,0.323735126,0.4486,0.015334519,0.027090832
30024,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.360662902,0.4209,0.016129263,0.02293788
30030,Not Critical Access,Teaching,Rural,Referral Center,Proprietary,0.039231226,0.5126,0.036480983,0.099273364
30036,Not Critical Access,Non Teaching,Rural,Referral Center,Nonprofit,0.015681234,0.2639,0.01726745,0.078245321
30037,Not Critical Access,Non Teaching,Rural,Referral Center,Proprietary,0.051355793,0.532,0.023441461,0.031894386
30038,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.212904597,0.26565,0.03034006,0.105096567
30043,Not Critical Access,Teaching,Rural,Non Referral Center,Proprietary,0.191774034,0.2391,0.009996103,0.015068723
30055,Not Critical Access,Teaching,Urban,Referral Center,Nonprofit,0.257233873,0.2835,0.006101623,0.035913645
30061,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.106215734,0.18,0.009699369,0.076702875
30062,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.10907432,0.3051,0.000439344,0.037485423
30064,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.236535209,0.5047,0.0094001,0.011978702
30065,Not Critical Access,Teaching,Urban,Referral Center,Nonprofit,0.340362159,0.4181,0.026653882,0.033417384
30069,Not Critical Access,Non Teaching,Rural,Referral Center,Proprietary,0.019498607,0.1627,0.004778855,0.026896886
30071,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.561266447,0.7435,0,0
30073,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.6985138,0.862,0,0
30074,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.522727273,0.5376,0,0
30077,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.633173844,0.748,0,0
30078,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.549104385,0.6508,0,0
30083,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.023724432,0.315366667,0.01594,0.066927183
30084,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.727637615,0.8251,0,0
30085,Not Critical Access,Non Teaching,Rural,Referral Center,Proprietary,0.202904193,0.2462,0.003206707,0.042678542
30087,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.14888979,0.1216,0.009663791,0.050434355
30088,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.100529101,0.1589,0.01005701,0.086764171
30089,Not Critical Access,Teaching,Urban,Referral Center,Nonprofit,0.324819908,0.4303,0.016707266,0.05493837
30092,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.212167667,0.2616,0.035613997,0.12074545
30093,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.13148297,0.1985,0.010906425,0.080268611
30094,Not Critical Access,Teaching,Rural,Referral Center,Proprietary,0.017372711,0.3451,0.012332494,0.023178714
30101,Not Critical Access,Non Teaching,Rural,Referral Center,Proprietary,0,0.2031,0.024382328,0.045943552
30103,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.04638965,0.0184,0.003460611,0.006038769
30105,Not Critical Access,Teaching,Rural,Non Referral Center,Nonprofit,0.06359852,0.1054,0.007278049,0.00926072
30107,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0.000321242,0.003843471
30108,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0.005556228
30110,Not Critical Access,Teaching,Urban,Non Referral Center,Proprietary,0.043594306,0.365,0.025935182,0.033277174
30111,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.316968395,0.5938,0.015374393,0.01955107
30112,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0.016140152
30113,Not Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.681885672,0.8089,0,0
30114,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.004466842,0.11975,0.002149775,0.003754112
30115,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.345256354,0.4655,0.021949783,0.100805575
30117,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.023323615,0.3432,0.005849401,0.052790626
30119,Not Critical Access,Non Teaching,Rural,Referral Center,Nonprofit,0.010926421,0.2121,0.011124649,0.103770005
30121,Not Critical Access,Teaching,Rural,Referral Center,Proprietary,0.049734843,0.3472,0.010365113,0.01417865
30122,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.205890157,0.2856,0.008031205,0.037681271
30123,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.119340551,0.0867,0.010559793,0.040577681
30130,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.172205438,0.2992,0.018282766,0.028399287
30131,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0.000522602,0.011292865
30134,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.173913043,0.2203,0.025210424,0.056627463
30136,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.078113486,0.5487,0.036040783,0.158472104
30137,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.099206349,NA,0,0.062098886
30139,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.041530055,0.315,0.012699129,0.165082781
30146,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.191537165,0.1828,0.024195743,0.113783156
30147,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.219800182,0.2253,0.014011992,0.110302858
30148,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.139743091,0.171533333,0.003909133,0.023736094
30152,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.262295082,0.284,0,0.204009184
31300,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.003448276,NA,0.001329239,0.04886255
31301,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.059895833,NA,0.011853396,0.071900185
31302,Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.22826087,NA,0.003025276,0.127820441
31304,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.553846154,NA,0.019964347,0.044036179
31305,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.364583333,NA,0,0
31307,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.484848485,NA,0,0
31308,Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.33719705,NA,0,0
31309,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.35,NA,0,0
31311,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.416978777,NA,0.005885972,0.028859946
31312,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.208494208,NA,0.015590186,0.038647707
31313,Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.021990309,NA,0.017775669,0.029720992
31314,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.359293573,NA,0.000828358,0.030128314
31315,Critical Access,Non Teaching,Rural,Non Referral Center,Governmental,0.181364393,NA,0.00392659,0.10568792
31317,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.267281106,NA,0.003011444,0.022818114
31318,Critical Access,Teaching,Rural,Non Referral Center,Nonprofit,0.140890688,NA,0.013315571,0.021607884
31319,Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.262841895,NA,0.005261959,0.058289476
32000,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
32001,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
32002,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
32004,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.007371007,NA,0,0
32005,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.025889968,NA,0,0
32006,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.17232376,NA,0,0
33025,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.021680217,NA,0,0
33028,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.007980356,NA,0,0
33029,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.011241447,NA,0,0
33032,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.015720524,NA,0,0
33034,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.001588562,NA,0,0
33036,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
33037,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.026858214,NA,0,0
33038,Not Critical Access,Teaching,Urban,Non Referral Center,Proprietary,0.012027491,NA,0,0
33039,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
33040,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.002751032,NA,0,-3.93E-06
33041,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
33042,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.002040222,NA,0,0
33043,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.061102832,NA,0,0
33302,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.597676183,NA,0,0
34004,Not Critical Access,Teaching,Urban,Non Referral Center,Nonprofit,0.484771111,NA,0,0
34013,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.297115385,NA,0,0
34020,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
34021,Not Critical Access,Non Teaching,Urban,Non Referral Center,Governmental,0.083333333,NA,0,0
34022,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
34023,Not Critical Access,Non Teaching,Urban,Non Referral Center,Nonprofit,0.309812569,NA,0,0
34024,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.038490951,NA,0,0
34025,Not Critical Access,Non Teaching,Rural,Non Referral Center,Proprietary,0.710144928,NA,0,0
34026,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
34028,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.056777857,NA,0,0
34029,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.068737607,NA,0,0
34030,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.036916395,NA,0,0
34031,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
34032,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
34033,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.555018972,NA,0,0.001544708
34034,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
34035,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
34036,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
34037,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.022088353,NA,0,0
34038,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.372925764,NA,0,0
34039,NA,NA,NA,NA,Proprietary,NA,NA,NA,NA
34040,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0,NA,0,0
40001,Not Critical Access,Non Teaching,Urban,Non Referral Center,Proprietary,0.142420538,0.3656,0.024899139,0.077648845
40002,Not Critical Access,Non Teaching,Rural,Non Referral Center,Nonprofit,0.177079482,0.3235,0.010293204,0.027528942
40004,Not Critical Access,Teaching,Rural,Referral Center,Nonprofit,0.101951922,0.25505,0.021486204,0.040699827
