CCN,critical_access,teaching_status,urban_rural,referral_center,num_beds,type_of_service,state_code,ownership_type_simple,bed_size_simple
31305,Critical Access,Non Teaching,Rural,Non Referral Center,6,General Short Term,AZ,Governmental,Small
40020,Not Critical Access,Teaching,Urban,Referral Center,384,General Short Term,AR,Nonprofit,Medium
40050,Not Critical Access,Non Teaching,Rural,Non Referral Center,82,General Short Term,NA,Nonprofit,Small
41307,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,AR,Nonprofit,Small
41310,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,AR,Nonprofit,Small
50146,Not Critical Access,Teaching,Urban,Non Referral Center,217,Cancer,CA,Nonprofit,Medium
70006,Not Critical Access,Teaching,Rural,Referral Center,288,General Short Term,NA,Nonprofit,Medium
90008,Not Critical Access,Non Teaching,Urban,Non Referral Center,123,General Short Term,NA,Governmental,Small
132001,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,General Long Term,PA,Proprietary,Small
141310,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,IL,Nonprofit,Small
171337,Critical Access,Non Teaching,Rural,Non Referral Center,18,General Short Term,KS,Nonprofit,Small
171349,Critical Access,Non Teaching,Rural,Non Referral Center,22,General Short Term,NA,Nonprofit,Small
190065,Not Critical Access,Teaching,Urban,Referral Center,251,General Short Term,LA,Nonprofit,Medium
190118,Not Critical Access,Non Teaching,Urban,Non Referral Center,34,General Short Term,NA,Nonprofit,Small
190151,Not Critical Access,Non Teaching,Rural,Non Referral Center,38,General Short Term,NA,Governmental,Small
190316,Not Critical Access,Non Teaching,Urban,Referral Center,107,General Short Term,LA,Nonprofit,Small
193028,Not Critical Access,Non Teaching,Urban,Non Referral Center,81,Rehabilitation,NA,Proprietary,Small
194103,Not Critical Access,Non Teaching,Urban,Non Referral Center,64,Psychiatric,LA,Proprietary,Small
220108,Not Critical Access,Non Teaching,Urban,Referral Center,102,General Short Term,MA,Nonprofit,Small
222007,Not Critical Access,Non Teaching,Urban,Non Referral Center,667,General Long Term,MA,Nonprofit,Large
230105,Not Critical Access,Non Teaching,Rural,Referral Center,177,General Short Term,MI,Nonprofit,Medium
230216,Not Critical Access,Non Teaching,Rural,Referral Center,152,General Short Term,MI,Nonprofit,Medium
232020,Not Critical Access,Non Teaching,Urban,Non Referral Center,15,General Long Term,MI,Nonprofit,Small
241314,Critical Access,Non Teaching,Rural,Non Referral Center,17,General Short Term,NA,Governmental,Small
241342,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
250043,Not Critical Access,Non Teaching,Rural,Non Referral Center,38,General Short Term,NA,Governmental,Small
250061,Not Critical Access,Non Teaching,Rural,Non Referral Center,26,General Short Term,NA,Governmental,Small
250077,Not Critical Access,Teaching,Rural,Non Referral Center,49,General Short Term,NA,Governmental,Small
250084,Not Critical Access,Non Teaching,Rural,Non Referral Center,159,General Short Term,TN,Proprietary,Medium
250117,Not Critical Access,Non Teaching,Rural,Non Referral Center,49,General Short Term,NA,Governmental,Small
251306,Critical Access,Non Teaching,Rural,Non Referral Center,22,General Short Term,NA,Governmental,Small
251309,Critical Access,Non Teaching,Rural,Non Referral Center,16,General Short Term,NA,Governmental,Small
251329,Critical Access,Non Teaching,Rural,Non Referral Center,7,General Short Term,NA,Governmental,Small
251333,Critical Access,Non Teaching,Rural,Non Referral Center,24,General Short Term,NA,Governmental,Small
450055,Not Critical Access,Non Teaching,Rural,Non Referral Center,39,General Short Term,NA,Governmental,Small
450104,Not Critical Access,Non Teaching,Rural,Non Referral Center,117,General Short Term,NA,Governmental,Small
450352,Not Critical Access,Teaching,Urban,Non Referral Center,150,General Short Term,NA,Governmental,Medium
450419,Not Critical Access,Non Teaching,Urban,Non Referral Center,31,General Short Term,TX,Nonprofit,Small
451306,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,OK,Proprietary,Small
451309,Critical Access,Non Teaching,Rural,Non Referral Center,11,General Short Term,NA,Governmental,Small
451311,Critical Access,Non Teaching,Rural,Non Referral Center,14,General Short Term,TX,Governmental,Small
451323,Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,FL,Nonprofit,Small
451330,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
451355,Critical Access,Non Teaching,Rural,Non Referral Center,13,General Short Term,OK,Proprietary,Small
451372,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,OK,Proprietary,Small
451375,Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,NA,Governmental,Small
451392,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
471304,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
670128,Not Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,TX,Nonprofit,Small
100142,Not Critical Access,Non Teaching,Rural,Non Referral Center,66,General Short Term,NA,Governmental,Small
180024,Not Critical Access,Non Teaching,Rural,Non Referral Center,63,General Short Term,TN,Proprietary,Small
180048,Not Critical Access,Non Teaching,Rural,Referral Center,157,General Short Term,KY,Nonprofit,Medium
180056,Not Critical Access,Non Teaching,Urban,Non Referral Center,118,General Short Term,IN,Nonprofit,Small
181302,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,KY,Nonprofit,Small
181315,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,KY,Nonprofit,Small
250081,Not Critical Access,Non Teaching,Rural,Referral Center,33,General Short Term,NA,Nonprofit,Small
440068,Not Critical Access,Non Teaching,Rural,Non Referral Center,172,General Short Term,TN,Proprietary,Medium
41311,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Nonprofit,Small
50424,Not Critical Access,Teaching,Rural,Referral Center,150,General Short Term,CA,Nonprofit,Medium
50471,Not Critical Access,Teaching,Rural,Referral Center,318,General Short Term,CA,Nonprofit,Medium
50503,Not Critical Access,Teaching,Urban,Non Referral Center,171,General Short Term,CA,Nonprofit,Medium
100006,Not Critical Access,Teaching,Rural,Referral Center,1632,General Short Term,FL,Nonprofit,Large
